City,Locality_Tier,BHK,Bathrooms,Super_Area_sqft,Property_Age_years,Parking,Furnishing,Distance_to_CityCenter_km,Market_Price_INR_Log
Hyderabad,Mid,3,4,957.3,8,1,Semi-Furnished,20.76,15.861453742536643
Bangalore,Budget,2,3,883.3,13,1,Semi-Furnished,17.56,15.568508062131382
Pune,Premium,3,4,1331.5,7,1,Unfurnished,9.73,16.502548676674262
Mumbai,Premium,3,4,997.6,10,1,Semi-Furnished,13.15,16.76489806243156
Pune,Mid,2,2,967.6,6,1,Unfurnished,14.07,15.842661070842968
Bangalore,Mid,1,1,484.2,6,0,Unfurnished,12.77,15.165562526328262
Bangalore,Premium,4,4,1592.0,5,1,Semi-Furnished,13.01,16.86557087140399
Bangalore,Mid,2,2,741.2,13,1,Semi-Furnished,1.21,15.747765903070944
Hyderabad,Budget,1,1,439.5,11,1,Unfurnished,15.65,14.569489868221169
Pune,Mid,2,2,948.2,0,0,Fully-Furnished,15.71,15.763566545916763
Hyderabad,Mid,4,3,2036.8,17,0,Semi-Furnished,11.63,16.443807920487952
Bangalore,Premium,3,3,1067.2,11,1,Fully-Furnished,5.09,16.371189461865228
Nagpur,Premium,3,3,1087.3,17,0,Fully-Furnished,9.89,15.867359783850045
Bangalore,Budget,2,2,805.3,1,1,Fully-Furnished,37.43,15.323434989847156
Mumbai,Budget,1,1,541.2,11,1,Unfurnished,22.11,15.446856722447254
Mumbai,Premium,3,3,1135.5,1,1,Unfurnished,13.56,16.930415878439
Hyderabad,Premium,3,3,1470.7,8,1,Unfurnished,0.5,16.44402262407474
Nagpur,Budget,2,3,947.4,15,0,Semi-Furnished,12.93,15.192039138700512
Mumbai,Budget,1,1,515.8,4,1,Semi-Furnished,16.09,15.640334812209751
Hyderabad,Mid,2,2,963.8,10,1,Unfurnished,15.4,15.631456820820945
Mumbai,Budget,2,2,1060.0,15,1,Fully-Furnished,23.32,16.350693885560258
